,CUST_ID,CUST_TYPE,CUST_NAME
0,834,1,CIMA_International Mail Zone A
1,835,1,CIMA_International Mail Zone B
2,836,1,CIMA_International Mail Zone C
3,837,1,CIMA_Saint-Barthelemy
4,824,1,CIMA_SERBIA
5,1001,1,AT MEDIC INTER
6,832,1,CIMA_USA - Utah
7,833,1,CIMA_Rest Of World
8,1002,1,ZHUJIANG SARL
9,1003,1,ARTISANS D'AFRIQUE ET D'ORIENT
10,1004,1,TS EQUIPEMENT
11,1005,1,MADPROD
12,1006,1,MONDIAL AGRI
13,1007,1,SEGMA TECHNOLOGIES
14,1008,1,HEXAMAR
15,1009,1,LAMAVET
16,1010,1,SCOUL MARKET
17,1011,1,T FRERES
18,1012,1,RIAD DAR ZIN
19,1013,1,ARTISANAT CHERKAOUI
20,1014,1,NANBIO
21,1015,1,BAZAR LAHCHEN
22,1016,1,DRESSING DE LUXE
23,1017,1,ZIAD DESING
24,1018,1,MTCM
25,1019,1,ME MAROC
26,1020,1,HOTEL RAMADA
27,1021,1,N& K TRANS
28,1022,1,NEW LOOK
29,1023,1,ARGANE TIMGHARIN
30,1024,1,CLEAS MEDICAL
31,1025,1,LIBRIPLAST
32,1026,1,LARINOR
33,1027,1,MODACAL
34,1028,1,CENTRE DE SECURITE ET TRAITEMENT
35,1029,1,ACCORD SERVICE
36,1030,1,BELGAMO
37,1031,1,COLIMPEX
38,1032,1,SUD BIO IMPORT
39,1033,1,ABDELLAH HANZAZ
40,1034,1,MZA COMMERCIAL
41,1035,1,PREMIA
42,1036,1,MAROC SEALING
43,1037,1,AIR TELECOM
44,1038,1,FEEDERINFORMATIQUE
45,1039,1,BAB HOTEL
46,1040,1,FO CONNECT
47,1041,1,AEROTECHNIQUE
48,1042,1,REN TANNERIES
49,1043,1,AMAL BANDES PLASTIQUE
50,1044,1,TECHNIC RADIATEUR
51,1045,1,MAROC DISTRIBUTION ELECTRIC
52,1046,1,SCHIELE MAROC
53,1047,1,OUTIPRO S.A
54,1048,1,POTEAUX BOIS MAROC
55,1049,1,SPIRIT DESING
56,1050,1,FROIDEL
57,1051,1,MY SHOES
58,1052,1,MANUFACTURE DE TEXTILLE DE SEFROU
59,506,1,CIMA_SLOVENIA
60,507,1,CIMA_SOMALIA
61,508,1,CIMA_SRI LANKA
62,415,1,CIMA_LIBYA
63,416,1,CIMA_LITHUANIA
64,417,1,CIMA_LEBANON
65,418,1,CIMA_LUXEMBOURG
66,419,1,CIMA_HUNGARY
67,420,1,CIMA_MACAU
68,386,1,CIMA_INDIA
69,387,1,CIMA_NETHERLANDS
70,421,1,CIMA_MACEDONIA
71,422,1,CIMA_MALAWI
72,423,1,CIMA_MALDIVES
73,424,1,CIMA_MALI
74,425,1,CIMA_MALTA
75,426,1,CIMA_MAURITIUS
76,427,1,CIMA_MARTINIQUE
77,428,1,CIMA_MEXICO
78,429,1,CIMA_EGYPT
79,430,1,CIMA_MONGOLIA
80,431,1,CIMA_MOLDOVA
81,432,1,CIMA_MONTSERRAT
82,433,1,CIMA_MAURITANIA
83,434,1,CIMA_MYANMAR
84,435,1,CIMA_NAMIBIA
85,436,1,CIMA_NAURU
86,437,1,CIMA_NEPAL
87,438,1,CIMA_NIGER
88,439,1,CIMA_NIGERIA
89,440,1,CIMA_NICARAGUA
90,441,1,CIMA_NORWAY
91,442,1,CIMA_PAKISTAN
92,443,1,CIMA_PANAMA
93,444,1,CIMA_PAPUA NEW GUINEA
94,445,1,CIMA_PARAGUAY
95,446,1,CIMA_POLAND
96,447,1,CIMA_PORTUGAL
97,448,1,CIMA_REUNION ISLANDS
98,449,1,CIMA_ROMANIA
99,451,1,CIMA_PALAU
100,452,1,CIMA_S.GEORGIA AND S.SANDWICH ISL.
101,453,1,CIMA_COCOS (KEELING) ISLANDS
